Name,Use Case,Price,URL,Platform
Stiletto,A luxury Shopify theme optimized for growth,$340 USD,https://themes.shopify.com/themes/stiletto/styles/vogue?locale=en&surface_inter_position=2&surface_intra_position=2&surface_type=all,Shopify
Broadcast,"Powerful, feature rich and designed to incentivize sales",$360 USD,https://themes.shopify.com/themes/broadcast/styles/clean?locale=en&surface_inter_position=2&surface_intra_position=3&surface_type=all,Shopify
Sense,An energizing theme featuring extensive product detail layouts,Free,https://themes.shopify.com/themes/sense/styles/default?locale=en&surface_inter_position=2&surface_intra_position=4&surface_type=all,Shopify
Reformation,"Feature-packed, high-performant Shopify theme",$320 USD,https://themes.shopify.com/themes/reformation/styles/default?locale=en&surface_inter_position=2&surface_intra_position=5&surface_type=all,Shopify
Ride,"A distinct, dynamic theme that champions the world of sports.",Free,https://themes.shopify.com/themes/ride/styles/default?locale=en&surface_inter_position=2&surface_intra_position=6&surface_type=all,Shopify
Stockmart,Meet the striking theme for building your world-class brand.,$380 USD,https://themes.shopify.com/themes/stockmart/styles/modern?locale=en&surface_inter_position=2&surface_intra_position=7&surface_type=all,Shopify
Origin,A stylish theme designed for makers selling unique pieces,Free,https://themes.shopify.com/themes/origin/styles/default?locale=en&surface_inter_position=2&surface_intra_position=8&surface_type=all,Shopify
Yuva,Modern yet elegant theme to best showcase your product catalog.,$260 USD,https://themes.shopify.com/themes/yuva/styles/amaze?locale=en&surface_inter_position=2&surface_intra_position=9&surface_type=all,Shopify
Shapes,Move products fast with clever Shapes.,$350 USD,https://themes.shopify.com/themes/shapes/styles/neon?locale=en&surface_inter_position=2&surface_intra_position=10&surface_type=all,Shopify
Boost,A playful and powerful premium theme built to BOOST your sales!,$330 USD,https://themes.shopify.com/themes/boost/styles/spark?locale=en&surface_inter_position=2&surface_intra_position=11&surface_type=all,Shopify
Fashionopolism,Fast and packed with features to help you sell more,$280 USD,https://themes.shopify.com/themes/fashionopolism/styles/haute?locale=en&surface_inter_position=2&surface_intra_position=12&surface_type=all,Shopify
Empire,A marketplace-inspired theme optimized for large product catalogs,$340 USD,https://themes.shopify.com/themes/empire/styles/supply?locale=en&surface_inter_position=2&surface_intra_position=13&surface_type=all,Shopify
Modular,"Fun, lively design and elegant animations to entice your customers",$300 USD,https://themes.shopify.com/themes/modular/styles/mayfair?locale=en&surface_inter_position=2&surface_intra_position=14&surface_type=all,Shopify
Split,Great for visual brands with a story to tell,$280 USD,https://themes.shopify.com/themes/split/styles/cuber?locale=en&surface_inter_position=2&surface_intra_position=15&surface_type=all,Shopify
Colorblock,A striking theme ideal for high-end fashion,Free,https://themes.shopify.com/themes/colorblock/styles/default?locale=en&surface_inter_position=2&surface_intra_position=16&surface_type=all,Shopify
ShowTime,Navigation focused theme ideal for large stores and drop-shippers,$280 USD,https://themes.shopify.com/themes/showtime/styles/cooktime?locale=en&surface_inter_position=2&surface_intra_position=17&surface_type=all,Shopify
Studio,A stylish theme with special attention to artists and collections,Free,https://themes.shopify.com/themes/studio/styles/default?locale=en&surface_inter_position=2&surface_intra_position=18&surface_type=all,Shopify
Icon,Perfect for visually striking brands with image-focused content,$280 USD,https://themes.shopify.com/themes/icon/styles/dolce?locale=en&surface_inter_position=2&surface_intra_position=19&surface_type=all,Shopify
Pipeline,"A fashionable, feature rich theme designed for luxury brands",$360 USD,https://themes.shopify.com/themes/pipeline/styles/clean?locale=en&surface_inter_position=2&surface_intra_position=20&surface_type=all,Shopify
Palo Alto,Exceptional design and powerful features to elevate your brand,$330 USD,https://themes.shopify.com/themes/palo-alto/styles/vibrant?locale=en&surface_inter_position=2&surface_intra_position=21&surface_type=all,Shopify
Crave,An eye-catching theme optimized for shopping on the go.,Free,https://themes.shopify.com/themes/crave/styles/default?locale=en&surface_inter_position=2&surface_intra_position=22&surface_type=all,Shopify
Xtra,A versatile theme fit for every industry built for boosting conversion,$400 USD,https://themes.shopify.com/themes/xtra/styles/maximum?locale=en&surface_inter_position=2&surface_intra_position=23&surface_type=all,Shopify
Influence,Fashion focused with creative storytelling and powerful navigation,$180 USD,https://themes.shopify.com/themes/influence/styles/default?locale=en&surface_inter_position=2&surface_intra_position=24&surface_type=all,Shopify
Sahara,Breathtaking visual treat that redefines the standards of online store,$350 USD,https://themes.shopify.com/themes/sahara/styles/sahara?locale=en&surface_inter_position=3&surface_intra_position=1&surface_type=all,Shopify
Grid,"A masonry-style theme, perfect for contemporary brands with a story to tell",$260 USD,https://themes.shopify.com/themes/grid/styles/bright?locale=en&surface_inter_position=3&surface_intra_position=2&surface_type=all,Shopify
Capital,Showcase large inventories with style and precision,$180 USD,https://themes.shopify.com/themes/capital/styles/berlin?locale=en&surface_inter_position=3&surface_intra_position=3&surface_type=all,Shopify
Fresh,A clean and versatile theme designed for food and drink stores,$350 USD,https://themes.shopify.com/themes/fresh/styles/sweet?locale=en&surface_inter_position=3&surface_intra_position=4&surface_type=all,Shopify
Editions,"A simple, spacious theme with a focus on featured products",$250 USD,https://themes.shopify.com/themes/editions/styles/spring?locale=en&surface_inter_position=3&surface_intra_position=5&surface_type=all,Shopify
Athens,Designed to host even the most demanding product inventories,$300 USD,https://themes.shopify.com/themes/athens/styles/default?locale=en&surface_inter_position=3&surface_intra_position=6&surface_type=all,Shopify
Stockholm,A clean and minimalist Shopify theme,$320 USD,https://themes.shopify.com/themes/stockholm/styles/default?locale=en&surface_inter_position=3&surface_intra_position=7&surface_type=all,Shopify
Aurora,A flexible and feature-rich theme to express your unique style.,$340 USD,https://themes.shopify.com/themes/aurora/styles/pure?locale=en&surface_inter_position=3&surface_intra_position=8&surface_type=all,Shopify
Sunrise,Ideal for commercial stores with a large number of products,$240 USD,https://themes.shopify.com/themes/sunrise/styles/spring?locale=en&surface_inter_position=3&surface_intra_position=9&surface_type=all,Shopify
Beyond,Designed for ethical brands envisioning a more sustainable future,$340 USD,https://themes.shopify.com/themes/beyond/styles/organic?locale=en&surface_inter_position=3&surface_intra_position=10&surface_type=all,Shopify
Align,"Modern, performant, and accessible. Built to maximize conversion.",$320 USD,https://themes.shopify.com/themes/align/styles/clean?locale=en&surface_inter_position=3&surface_intra_position=11&surface_type=all,Shopify
Story,A theme designed to grow your brand and build customer trust,$300 USD,https://themes.shopify.com/themes/story/styles/bright?locale=en&surface_inter_position=3&surface_intra_position=12&surface_type=all,Shopify
Expression,"Captivate your customer, through sophistication, versatility and style",$280 USD,https://themes.shopify.com/themes/expression/styles/naturale?locale=en&surface_inter_position=3&surface_intra_position=13&surface_type=all,Shopify
Maker,"Contemporary, stylish, versatile. Created to captivate and convert.",$340 USD,https://themes.shopify.com/themes/maker/styles/bloom?locale=en&surface_inter_position=3&surface_intra_position=14&surface_type=all,Shopify
Portland,Elevate your online presence with a minimalist and elegant theme.,$320 USD,https://themes.shopify.com/themes/portland/styles/heartbeat?locale=en&surface_inter_position=3&surface_intra_position=15&surface_type=all,Shopify
Testament,Conversion focused and mobile optimized for fast online shopping,$320 USD,https://themes.shopify.com/themes/testament/styles/genesis?locale=en&surface_inter_position=3&surface_intra_position=16&surface_type=all,Shopify
Venue,"Flexible, easy to use and packed with clever features.",$360 USD,https://themes.shopify.com/themes/venue/styles/morning?locale=en&surface_inter_position=3&surface_intra_position=17&surface_type=all,Shopify
Impulse,"Flexible, fashionable, proven design with powerful promotions.",$380 USD,https://themes.shopify.com/themes/impulse/styles/modern?locale=en&surface_inter_position=3&surface_intra_position=18&surface_type=all,Shopify
Area,"Optimized for conversions. Wine, ice creame, booster, fashion stores.",$190 USD,https://themes.shopify.com/themes/area/styles/stylish?locale=en&surface_inter_position=3&surface_intra_position=19&surface_type=all,Shopify
Focal,"A bold grid-style theme, perfect for lifestyle and product imagery",$320 USD,https://themes.shopify.com/themes/focal/styles/carbon?locale=en&surface_inter_position=3&surface_intra_position=20&surface_type=all,Shopify
Marble,"Functional, flexible, fast. Unique design that puts your brand ahead.",$290 USD,https://themes.shopify.com/themes/marble/styles/marble?locale=en&surface_inter_position=3&surface_intra_position=21&surface_type=all,Shopify
Emerge,"Lightning fast, evocative designs to elevate your brand above the rest",$320 USD,https://themes.shopify.com/themes/emerge/styles/light?locale=en&surface_inter_position=3&surface_intra_position=22&surface_type=all,Shopify
Avenue,Designed to help your customers quickly find the product they want,$280 USD,https://themes.shopify.com/themes/avenue/styles/precise?locale=en&surface_inter_position=3&surface_intra_position=23&surface_type=all,Shopify
Fetch,"Modern pet supply theme: Perfectly playful, minimalist, and flexible.",$360 USD,https://themes.shopify.com/themes/fetch/styles/bark?locale=en&surface_inter_position=3&surface_intra_position=24&surface_type=all,Shopify
Exhibit,A gallery-style theme for gallery-style people.,$350 USD,https://themes.shopify.com/themes/exhibit/styles/art?locale=en&surface_inter_position=4&surface_intra_position=1&surface_type=all,Shopify
Blockshop,"Designed for luxury brands, delivering unrivalled speed and elegance.",$340 USD,https://themes.shopify.com/themes/blockshop/styles/beauty?locale=en&surface_inter_position=4&surface_intra_position=2&surface_type=all,Shopify
Spark,"For direct-to-consumer brands, drop-shippers and first-time merchants",$320 USD,https://themes.shopify.com/themes/spark/styles/chic?locale=en&surface_inter_position=4&surface_intra_position=3&surface_type=all,Shopify
Viola,Design theme with amazing visuals for an unforgettable user experience,$250 USD,https://themes.shopify.com/themes/viola/styles/classic?locale=en&surface_inter_position=4&surface_intra_position=4&surface_type=all,Shopify
Impact,"A colored, typography-oriented theme for impactful brands",$380 USD,https://themes.shopify.com/themes/impact/styles/sound?locale=en&surface_inter_position=4&surface_intra_position=5&surface_type=all,Shopify
Label,A theme for labels. No matter if yours is on cotton or vinyl.,$320 USD,https://themes.shopify.com/themes/label/styles/music?locale=en&surface_inter_position=4&surface_intra_position=6&surface_type=all,Shopify
Galleria,An image-focused theme ideal for large inventories,$280 USD,https://themes.shopify.com/themes/galleria/styles/empire?locale=en&surface_inter_position=4&surface_intra_position=7&surface_type=all,Shopify
Champion,A robust and visually impactful theme to propel your brand,$350 USD,https://themes.shopify.com/themes/champion/styles/flash?locale=en&surface_inter_position=4&surface_intra_position=8&surface_type=all,Shopify
Zest,A flexible and modern design to win mobile conversion,$300 USD,https://themes.shopify.com/themes/zest/styles/gusto?locale=en&surface_inter_position=4&surface_intra_position=9&surface_type=all,Shopify
Responsive,Focus on your products and brand with full-width imagery,$240 USD,https://themes.shopify.com/themes/responsive/styles/london?locale=en&surface_inter_position=4&surface_intra_position=10&surface_type=all,Shopify
Warehouse,Designed to display and promote a large catalog of products,$320 USD,https://themes.shopify.com/themes/warehouse/styles/metal?locale=en&surface_inter_position=4&surface_intra_position=11&surface_type=all,Shopify
Alchemy,"Fast, modern, easy set-up. Designed to best showcase your products!",$300 USD,https://themes.shopify.com/themes/alchemy/styles/modern?locale=en&surface_inter_position=4&surface_intra_position=12&surface_type=all,Shopify
Retina,Showcase your products with bold imagery and refined styling,$220 USD,https://themes.shopify.com/themes/retina/styles/amsterdam?locale=en&surface_inter_position=4&surface_intra_position=13&surface_type=all,Shopify
Erickson,A feature-rich theme for all product types designed to increase sales,$170 USD,https://themes.shopify.com/themes/erickson/styles/petra?locale=en&surface_inter_position=4&surface_intra_position=14&surface_type=all,Shopify
Foodie,A versatile conversion focused theme for smaller inventories,$200 USD,https://themes.shopify.com/themes/foodie/styles/grind?locale=en&surface_inter_position=4&surface_intra_position=15&surface_type=all,Shopify
Fame,Powerfully evoking emotion through creativity.,$360 USD,https://themes.shopify.com/themes/fame/styles/dark?locale=en&surface_inter_position=4&surface_intra_position=16&surface_type=all,Shopify
Highlight,Showcase noteworthy products in a creative and engaging way,$280 USD,https://themes.shopify.com/themes/highlight/styles/modern?locale=en&surface_inter_position=4&surface_intra_position=17&surface_type=all,Shopify
Minion,Ideal for the pet industry. With flexible features to fit more niches,$250 USD,https://themes.shopify.com/themes/minion/styles/vertical?locale=en&surface_inter_position=4&surface_intra_position=18&surface_type=all,Shopify
Lorenza,"An editorial-inspired design, perfect for boutique retailers",$320 USD,https://themes.shopify.com/themes/lorenza/styles/chic?locale=en&surface_inter_position=4&surface_intra_position=19&surface_type=all,Shopify
Tailor,Tailor-made for fashion brands with a story to tell.,$320 USD,https://themes.shopify.com/themes/tailor/styles/cotton?locale=en&surface_inter_position=4&surface_intra_position=20&surface_type=all,Shopify
Pursuit,A bold theme for medium-large merchants who want to make a statement,$320 USD,https://themes.shopify.com/themes/pursuit/styles/aspen?locale=en&surface_inter_position=4&surface_intra_position=21&surface_type=all,Shopify
Mode,"Feature-packed and fast, hand-crafted for growth and large inventories",$380 USD,https://themes.shopify.com/themes/mode/styles/orbit?locale=en&surface_inter_position=4&surface_intra_position=22&surface_type=all,Shopify
Charge,Bring your store to the next level with a page speed optimized theme!,$170 USD,https://themes.shopify.com/themes/charge/styles/default?locale=en&surface_inter_position=4&surface_intra_position=23&surface_type=all,Shopify
Colors,Bold theme designed with all Shopify's new features.,$240 USD,https://themes.shopify.com/themes/colors/styles/generic?locale=en&surface_inter_position=4&surface_intra_position=24&surface_type=all,Shopify
Taiga,A blazing fast and modern theme with +10 video sections,$380 USD,https://themes.shopify.com/themes/taiga/styles/sage?locale=en&surface_inter_position=5&surface_intra_position=1&surface_type=all,Shopify
Vantage,"Fast, sleek, and conversion focused for stores of all sizes",$200 USD,https://themes.shopify.com/themes/vantage/styles/clean?locale=en&surface_inter_position=5&surface_intra_position=2&surface_type=all,Shopify
Masonry,"A modern, user-driven design to get customers to your products quickly",$280 USD,https://themes.shopify.com/themes/masonry/styles/flamingo?locale=en&surface_inter_position=5&surface_intra_position=3&surface_type=all,Shopify
Amber,Unlock your potential with a fast and simple but powerful theme.,$250 USD,https://themes.shopify.com/themes/amber/styles/amber?locale=en&surface_inter_position=5&surface_intra_position=4&surface_type=all,Shopify
Gain,"Modern, fast, customizable, flexible, supercharged, & developer-free.",$260 USD,https://themes.shopify.com/themes/gain/styles/the-lace?locale=en&surface_inter_position=5&surface_intra_position=5&surface_type=all,Shopify
Startup,Perfect for Direct-to-Consumer focused brands with small catalogs.,$240 USD,https://themes.shopify.com/themes/startup/styles/tech?locale=en&surface_inter_position=5&surface_intra_position=6&surface_type=all,Shopify
Banjo,"Flexible, easy to use and focused on an elegant user experience.",$320 USD,https://themes.shopify.com/themes/banjo/styles/creative?locale=en&surface_inter_position=5&surface_intra_position=7&surface_type=all,Shopify
Blum,"Versatile, professional theme made for unmatched experience",$170 USD,https://themes.shopify.com/themes/blum/styles/celia?locale=en&surface_inter_position=5&surface_intra_position=8&surface_type=all,Shopify
Andaman,"Based on minimalist design, typography and product storytelling.",$290 USD,https://themes.shopify.com/themes/andaman/styles/underwear?locale=en&surface_inter_position=5&surface_intra_position=9&surface_type=all,Shopify
Canopy,"Amazon-inspired, feature-rich, and optimized for large scale selling.",$390 USD,https://themes.shopify.com/themes/canopy/styles/natural?locale=en&surface_inter_position=5&surface_intra_position=10&surface_type=all,Shopify
Cascade,Get in flow with this soothing and sophisticated theme.,$350 USD,https://themes.shopify.com/themes/cascade/styles/modern?locale=en&surface_inter_position=5&surface_intra_position=11&surface_type=all,Shopify
Forge,A product focused theme with unique set selling features and options,$220 USD,https://themes.shopify.com/themes/forge/styles/platinum?locale=en&surface_inter_position=5&surface_intra_position=12&surface_type=all,Shopify
Handmade,"A theme for jewelry & accessory crafters, lifestyle brands, and DIYers",$320 USD,https://themes.shopify.com/themes/handmade/styles/dusty-brown?locale=en&surface_inter_position=5&surface_intra_position=13&surface_type=all,Shopify
Drop,Conversion focused and optimized for sales & product drops,$230 USD,https://themes.shopify.com/themes/drop/styles/countdown?locale=en&surface_inter_position=5&surface_intra_position=14&surface_type=all,Shopify
Pacific,"A modular, expansive theme for stores with large inventories",$240 USD,https://themes.shopify.com/themes/pacific/styles/bold?locale=en&surface_inter_position=5&surface_intra_position=15&surface_type=all,Shopify
Maranello,A visually-centered theme perfect for extensive product catalogs.,$300 USD,https://themes.shopify.com/themes/maranello/styles/default?locale=en&surface_inter_position=5&surface_intra_position=16&surface_type=all,Shopify
District,Ideal for showcasing featured products and collections,$220 USD,https://themes.shopify.com/themes/district/styles/district?locale=en&surface_inter_position=5&surface_intra_position=17&surface_type=all,Shopify
Effortless,A quick-start premium theme with an effortless shopping experience.,$180 USD,https://themes.shopify.com/themes/effortless/styles/trend?locale=en&surface_inter_position=5&surface_intra_position=18&surface_type=all,Shopify
Mojave,Contemporary design with proven functionality that converts to sales.,$350 USD,https://themes.shopify.com/themes/mojave/styles/mojave?locale=en&surface_inter_position=5&surface_intra_position=19&surface_type=all,Shopify
Electro,Transforming product showcase with a super-fast and versatile theme,$170 USD,https://themes.shopify.com/themes/electro/styles/audio?locale=en&surface_inter_position=5&surface_intra_position=20&surface_type=all,Shopify
Paper,A feature-rich theme designed for both large and small catalogs,$320 USD,https://themes.shopify.com/themes/paper/styles/poster?locale=en&surface_inter_position=5&surface_intra_position=21&surface_type=all,Shopify
Emporium,Unlock your brand's potential with a fast and flexible theme.,$230 USD,https://themes.shopify.com/themes/emporium/styles/fruity?locale=en&surface_inter_position=5&surface_intra_position=22&surface_type=all,Shopify
Streamline,An eye-catching theme designed for quick impact,$360 USD,https://themes.shopify.com/themes/streamline/styles/core?locale=en&surface_inter_position=5&surface_intra_position=23&surface_type=all,Shopify
Creator,A versatile library of UI fundamentals built for multifaceted creators,$300 USD,https://themes.shopify.com/themes/creator/styles/streamer?locale=en&surface_inter_position=5&surface_intra_position=24&surface_type=all,Shopify
Creator,A versatile library of UI fundamentals built for multifaceted creators,$300 USD,https://themes.shopify.com/themes/creator/styles/streamer?locale=en&surface_inter_position=6&surface_intra_position=1&surface_type=all,Shopify
Atlantic,"Striking, scalable, and built to boost conversions",$280 USD,https://themes.shopify.com/themes/atlantic/styles/plush?locale=en&surface_inter_position=6&surface_intra_position=2&surface_type=all,Shopify
Atom,A flexible & easy to use theme focused on an intuitive user experience,$160 USD,https://themes.shopify.com/themes/atom/styles/relativity?locale=en&surface_inter_position=6&surface_intra_position=3&surface_type=all,Shopify
Parallax,Enhance your brand’s style with a striking parallax scrolling effect,$240 USD,https://themes.shopify.com/themes/parallax/styles/aspen?locale=en&surface_inter_position=6&surface_intra_position=4&surface_type=all,Shopify
Launch,Designed to scale startups into successful online stores,$240 USD,https://themes.shopify.com/themes/launch/styles/cool?locale=en&surface_inter_position=6&surface_intra_position=5&surface_type=all,Shopify
Mono,The SEO-optimized shopify theme for a flawless e-commerce experience,$200 USD,https://themes.shopify.com/themes/mono/styles/vanilla?locale=en&surface_inter_position=6&surface_intra_position=6&surface_type=all,Shopify
Loft,Perfect for promotion-focused brands,$280 USD,https://themes.shopify.com/themes/loft/styles/nashville?locale=en&surface_inter_position=6&surface_intra_position=7&surface_type=all,Shopify
Upscale,A premium theme supercharged with features and flexibility,$350 USD,https://themes.shopify.com/themes/upscale/styles/gem?locale=en&surface_inter_position=6&surface_intra_position=8&surface_type=all,Shopify
Bazaar,Incredibly versatile for all product types. Highly advanced features.,$320 USD,https://themes.shopify.com/themes/bazaar/styles/default?locale=en&surface_inter_position=6&surface_intra_position=9&surface_type=all,Shopify
Flow,Unlock the power of image-focused design and super flexible layouts,$350 USD,https://themes.shopify.com/themes/flow/styles/nourish?locale=en&surface_inter_position=6&surface_intra_position=10&surface_type=all,Shopify
Frame,"Lightweight, minimal theme designed for fast and easy set-up.",$140 USD,https://themes.shopify.com/themes/frame/styles/madison?locale=en&surface_inter_position=6&surface_intra_position=11&surface_type=all,Shopify
Creative,"An elegant, minimal theme loaded with powerful premium features",$350 USD,https://themes.shopify.com/themes/creative/styles/chalk?locale=en&surface_inter_position=6&surface_intra_position=12&surface_type=all,Shopify
Woodstock,"Fast, flexible. Advanced features will push your store",$270 USD,https://themes.shopify.com/themes/woodstock/styles/light?locale=en&surface_inter_position=6&surface_intra_position=13&surface_type=all,Shopify
Cama,A theme designed for contemporary and emerging Shopify DTC brands,$220 USD,https://themes.shopify.com/themes/cama/styles/grace?locale=en&surface_inter_position=6&surface_intra_position=14&surface_type=all,Shopify
California,"Clean, simple, and focused on an elegant user experience",$240 USD,https://themes.shopify.com/themes/california/styles/generic?locale=en&surface_inter_position=6&surface_intra_position=15&surface_type=all,Shopify
Gem,Shine online with this meticulously crafted theme for jewelry brands.,$380 USD,https://themes.shopify.com/themes/gem/styles/garnet?locale=en&surface_inter_position=6&surface_intra_position=16&surface_type=all,Shopify
Roam,Uncomplicated mobile first theme optimized for smaller screens,$240 USD,https://themes.shopify.com/themes/roam/styles/solo?locale=en&surface_inter_position=6&surface_intra_position=17&surface_type=all,Shopify
Whisk,Elevate your store's appeal with captivating organic shapes and layout,$290 USD,https://themes.shopify.com/themes/whisk/styles/soft?locale=en&surface_inter_position=6&surface_intra_position=18&surface_type=all,Shopify
Avatar,"A modern, clean theme, designed to increase your average order value",$220 USD,https://themes.shopify.com/themes/avatar/styles/royal?locale=en&surface_inter_position=6&surface_intra_position=19&surface_type=all,Shopify
Berlin,A seamless fusion of style and functionality in one theme.,$320 USD,https://themes.shopify.com/themes/berlin/styles/lifestyle?locale=en&surface_inter_position=6&surface_intra_position=20&surface_type=all,Shopify
Mavon,A versatile theme designed to elevate your online business.,$280 USD,https://themes.shopify.com/themes/mavon/styles/fashion?locale=en&surface_inter_position=6&surface_intra_position=21&surface_type=all,Shopify
Sydney,Supercharged with stunning designs and tools to incentivize sales.,$320 USD,https://themes.shopify.com/themes/sydney/styles/sophisticated?locale=en&surface_inter_position=6&surface_intra_position=22&surface_type=all,Shopify
Avante,"Premium fashion design, best for clothing. Designed to impress.",$290 USD,https://themes.shopify.com/themes/avante/styles/fashion?locale=en&surface_inter_position=6&surface_intra_position=23&surface_type=all,Shopify
Cornerstone,Flexible design and advanced functionality for high-volume stores,$340 USD,https://themes.shopify.com/themes/cornerstone/styles/glow?locale=en&surface_inter_position=6&surface_intra_position=24&surface_type=all,Shopify
Unicorn,"Design a unique shop with the flexible, robust, high-end theme",$150 USD,https://themes.shopify.com/themes/unicorn/styles/valuable?locale=en&surface_inter_position=7&surface_intra_position=1&surface_type=all,Shopify
Providence,"A clean, no-distraction theme, focused on conversions.",$200 USD,https://themes.shopify.com/themes/providence/styles/thunderbolt?locale=en&surface_inter_position=7&surface_intra_position=2&surface_type=all,Shopify
Momentum,Display detailed product information to drive your store’s conversions,$350 USD,https://themes.shopify.com/themes/momentum/styles/fuel?locale=en&surface_inter_position=7&surface_intra_position=3&surface_type=all,Shopify
Abode,"Best for Fashion,Furniture, Art, Tools, Clothing,Flower,Clothes",$140 USD,https://themes.shopify.com/themes/abode/styles/furniture?locale=en&surface_inter_position=7&surface_intra_position=4&surface_type=all,Shopify
Huge,Like Nothing You've Seen Before,$220 USD,https://themes.shopify.com/themes/huge/styles/default?locale=en&surface_inter_position=7&surface_intra_position=5&surface_type=all,Shopify
Eurus,"A fast, feature-rich and mobile first theme.",$230 USD,https://themes.shopify.com/themes/eurus/styles/puff?locale=en&surface_inter_position=7&surface_intra_position=6&surface_type=all,Shopify
Next,Grow your brand with the most flexible theme for enterprise merchants,$400 USD,https://themes.shopify.com/themes/next/styles/wood?locale=en&surface_inter_position=7&surface_intra_position=7&surface_type=all,Shopify
Automation,Visual-focused theme ideal for users who use many apps and automations,$260 USD,https://themes.shopify.com/themes/automation/styles/default?locale=en&surface_inter_position=7&surface_intra_position=8&surface_type=all,Shopify
Monaco,A luxury theme to celebrate your refined brand.,$320 USD,https://themes.shopify.com/themes/monaco/styles/allure?locale=en&surface_inter_position=7&surface_intra_position=9&surface_type=all,Shopify
Vivid,Exceptional design and powerful features to elevate your brand,$200 USD,https://themes.shopify.com/themes/vivid/styles/ruby?locale=en&surface_inter_position=7&surface_intra_position=10&surface_type=all,Shopify
Kairo,A simple & consistent theme built for different kind of inventories,$140 USD,https://themes.shopify.com/themes/kairo/styles/default?locale=en&surface_inter_position=7&surface_intra_position=11&surface_type=all,Shopify
Urge,Give your customers the Urge to buy more,$290 USD,https://themes.shopify.com/themes/urge/styles/default?locale=en&surface_inter_position=7&surface_intra_position=12&surface_type=all,Shopify
Neat,A modern theme for visual storytelling brands,$200 USD,https://themes.shopify.com/themes/neat/styles/white?locale=en&surface_inter_position=7&surface_intra_position=13&surface_type=all,Shopify
Chord,"Flexible, easy to use and focused on an elegant user experience.",$320 USD,https://themes.shopify.com/themes/chord/styles/warm?locale=en&surface_inter_position=7&surface_intra_position=14&surface_type=all,Shopify
Brava,A flexible & scalable theme for all products types to increase sales,$190 USD,https://themes.shopify.com/themes/brava/styles/brava?locale=en&surface_inter_position=7&surface_intra_position=15&surface_type=all,Shopify
Xclusive,Highly customizable for every industry that embraces remarkable design,$400 USD,https://themes.shopify.com/themes/xclusive/styles/shoes?locale=en&surface_inter_position=7&surface_intra_position=16&surface_type=all,Shopify
Nostalgia,A simple theme for displaying products in a classic & elegant way.,$250 USD,https://themes.shopify.com/themes/nostalgia/styles/classic?locale=en&surface_inter_position=7&surface_intra_position=17&surface_type=all,Shopify
Lute,Use color to communicate.,$320 USD,https://themes.shopify.com/themes/lute/styles/vibrant?locale=en&surface_inter_position=7&surface_intra_position=18&surface_type=all,Shopify
Modules,Modular design allowing for deep customization and scalability,$200 USD,https://themes.shopify.com/themes/modules/styles/sky?locale=en&surface_inter_position=7&surface_intra_position=19&surface_type=all,Shopify
Trade,A professional theme specifically designed for wholesale.,Free,https://themes.shopify.com/themes/trade/styles/default?locale=en&surface_inter_position=7&surface_intra_position=20&surface_type=all,Shopify
Concept,The seamless mobile shopping experience for your customers,$250 USD,https://themes.shopify.com/themes/concept/styles/harmony?locale=en&surface_inter_position=7&surface_intra_position=21&surface_type=all,Shopify
Essence,"A clean, feature rich theme for visual stores",$250 USD,https://themes.shopify.com/themes/essence/styles/bold?locale=en&surface_inter_position=7&surface_intra_position=22&surface_type=all,Shopify
Digital,Designed to showcase digital products with flair and functionality.,$380 USD,https://themes.shopify.com/themes/digital/styles/electric?locale=en&surface_inter_position=7&surface_intra_position=23&surface_type=all,Shopify
Minimalista,Stylish design and high performance united in one theme.,$380 USD,https://themes.shopify.com/themes/minimalista/styles/graphite?locale=en&surface_inter_position=7&surface_intra_position=24&surface_type=all,Shopify
Borders,Craft your store's signature look with versatile customization options,$360 USD,https://themes.shopify.com/themes/borders/styles/raw?locale=en&surface_inter_position=8&surface_intra_position=1&surface_type=all,Shopify
Shark,"Parallax, Modern, Multifaceted: The future of your Shopify store.",$200 USD,https://themes.shopify.com/themes/shark/styles/default?locale=en&surface_inter_position=8&surface_intra_position=2&surface_type=all,Shopify
Distinctive,"Distinctive, premium, high-end brand appeal",$300 USD,https://themes.shopify.com/themes/distinctive/styles/default?locale=en&surface_inter_position=8&surface_intra_position=3&surface_type=all,Shopify
Starlite,"Versatile & Stylish, Ideal for Shopify Professionals.",$290 USD,https://themes.shopify.com/themes/starlite/styles/classic?locale=en&surface_inter_position=8&surface_intra_position=4&surface_type=all,Shopify
Multi,Highly flexible multi-purpose theme with extensive navigation options,$350 USD,https://themes.shopify.com/themes/multi/styles/spark?locale=en&surface_inter_position=8&surface_intra_position=5&surface_type=all,Shopify
Veena,"Elevate E-Commerce Excellence with Veena: Your Sales, Your Way.",$290 USD,https://themes.shopify.com/themes/veena/styles/megamall?locale=en&surface_inter_position=8&surface_intra_position=6&surface_type=all,Shopify
Copenhagen,"Classy, minimalist theme focused on user experience.",$320 USD,https://themes.shopify.com/themes/copenhagen/styles/primary?locale=en&surface_inter_position=8&surface_intra_position=7&surface_type=all,Shopify
Relax,Take your Shopify business to the next level!,$170 USD,https://themes.shopify.com/themes/relax/styles/comfort?locale=en&surface_inter_position=8&surface_intra_position=8&surface_type=all,Shopify
